Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
A0A0P0XIZ6_ORYSJ,0.004917864,-0.115201998,NP,NP,0.369626393,0.005622236,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XJ67_ORYSJ,0.000121509,-0.412575013,0.026776159,0.273120083,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
A0A0P0XJS0_ORYSJ,0.200663024,-0.083509425,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XK25_ORYSJ,0.000362899,0.311793863,NP,NP,0.34880293,0.015423397,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0XLE4_ORYSJ,0.000902417,-0.163558989,NP,NP,0.159452584,0.043950458,0.091127193,-0.516948752,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XQP1_ORYSJ,0.000982096,-0.414834113,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XQX9_ORYSJ,0.252083244,0.082745272,0.204679979,0.162907146,0.128564833,-0.076975921,0.304053178,-0.070291389,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XQZ3_ORYSJ,0.460296865,0.007762836,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XR07_ORYSJ,0.006352042,-0.321631245,0.002054316,0.443676141,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
A0A0P0XR78_ORYSJ,0.071295903,0.188919902,NP,NP,0.000551105,-0.38604291,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0XRB6_ORYSJ,0.211170742,0.15959891,0.264249477,0.260821175,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XRC0_ORYSJ,0.004349908,0.166954458,NP,NP,0.032639415,-0.079205262,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
A0A0P0XRF4_ORYSJ,0.082117371,-0.118627569,0.017648547,0.47022131,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0XS32_ORYSJ,0.006682819,0.10192392,NP,NP,0.021369857,-0.089886961,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
A0A0P0XS42_ORYSJ,0.007441597,-0.157092392,NP,NP,0.235419486,0.035537578,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XS84_ORYSJ,0.087598926,-0.17756071,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XSI9_ORYSJ,0.012072296,0.518819765,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0XT80_ORYSJ,0.000608414,0.16013901,0.000599589,1.977857227,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0XTL3_ORYSJ,0.047173878,-0.099017622,NP,NP,0.006804722,-0.194536734,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
A0A0P0XUQ6_ORYSJ,0.000415092,-0.303780697,NP,NP,0.025053902,0.091522912,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0XUY0_ORYSJ,0.000445071,1.09158438,0.014183744,-0.258237811,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
A0A0P0XX00_ORYSJ,0.084268306,0.090037885,0.001398206,0.655166939,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0XZC3_ORYSJ,0.067097699,-0.069995588,0.078819557,-0.301955952,0.44235726,-0.013440874,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0Y0K5_ORYSJ,0.001575514,-0.625586896,0.000356593,-0.623625542,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
A0A0P0Y2E2_ORYSJ,0.004854219,0.308593882,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y2I0_ORYSJ,0.090398448,-0.187853891,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0Y2U4_ORYSJ,0.043331438,0.205275548,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y2X9_ORYSJ,0.012687777,-0.249932573,0.136821811,-0.197588322,0.343566961,0.022254072,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0Y2Z8_ORYSJ,0.000204057,-0.31110338,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0Y344_ORYSJ,0.000448485,0.35271963,0.014496412,2.008142551,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0Y3F3_ORYSJ,0.295502949,-0.023261697,NP,NP,0.000542033,-0.211779405,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0Y3G6_ORYSJ,0.198021111,-0.042225048,0.001306794,-0.637644488,0.013630796,-0.095681487,0.202795643,-0.098364462,0,0,0,1,0,1,1,0,1,0,0,0
A0A0P0Y3K9_ORYSJ,0.090398448,-0.187853891,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0Y4Z1_ORYSJ,0.000569005,-0.211277438,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0Y503_ORYSJ,0.000232087,0.23438335,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y5B0_ORYSJ,0.076322087,0.321030453,NP,NP,0.059767827,-0.310996487,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0Y5Z4_ORYSJ,0.153741898,-0.078738218,NP,NP,0.001466853,-0.292801844,0.04598105,0.173330201,0,0,0,0,0,0,1,0,1,1,1,0
A0A0P0Y6F9_ORYSJ,0.040666433,-0.068765251,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0Y804_ORYSJ,0.000644174,0.206860814,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y837_ORYSJ,0.002652911,0.197752269,0.075808034,-0.200108437,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y873_ORYSJ,0.168059971,0.106022358,NP,NP,0.00069352,0.699838387,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0Y8Q9_ORYSJ,0.001648705,0.366477316,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0Y9P0_ORYSJ,0.330669616,-0.038846658,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0Y9Z1_ORYSJ,0.020113426,0.130999374,0.01322518,0.310073438,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0YAY3_ORYSJ,0.000260579,0.201775616,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0YBH2_ORYSJ,0.002643749,-0.236504585,0.223216471,0.079790148,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0YBJ3_ORYSJ,0.127800891,0.097903377,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0YBS5_ORYSJ,0.48660143,0.001197947,NP,NP,0.448225612,-0.006580877,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0YBU6_ORYSJ,0.00094513,-0.281010898,0.251689619,-0.100075459,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0YC15_ORYSJ,0.324367012,0.014985345,0.108851808,0.172081716,0.000543715,-0.377691964,0.060453804,0.506857418,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0YE31_ORYSJ,0.370200248,0.019877886,0.194341393,0.088238865,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A5S6RB50_ORYSJ,0.077436635,-0.124563298,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A1IGU8_ORYSJ,0.006950996,-0.756454517,NP,NP,0.226061491,0.080750224,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A2ZPF1_ORYSJ,0.000721541,-0.458396864,NP,NP,0.000858966,0.381233337,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A2ZT20_ORYSJ,0.089602012,-0.181603677,0.177155308,-0.466340431,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A2ZU74_ORYSJ,0.034627679,0.272337281,0.001003941,1.847960625,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A2ZV43_ORYSJ,0.090398448,-0.187853891,NP,NP,0.038227523,-0.213618841,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A3AIV0_ORYSJ,0.149093358,0.182559811,0.064854303,0.113599264,0.471049501,0.014236915,0.023684505,0.351525174,0,0,0,0,0,0,0,0,0,1,1,0
A3BAV3_ORYSJ,0.000101818,-0.136822493,0.472320469,-0.003143427,0.086973989,-0.04725233,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A3BQI0_ORYSJ,0.045102148,0.20876605,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A3BYB2_ORYSJ,0.002101686,-0.185551004,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A3BZ14_ORYSJ,0.0627614,-0.141627509,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
AAH_ORYSJ,0.007417706,-0.131239572,0.075976635,0.231568331,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
AB49G_ORYSJ,0.094122122,0.284084376,0.461996107,-0.073165922,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
AB50G_ORYSJ,0.284677619,-0.037177742,NP,NP,0.007190167,0.317619503,0.07398466,-0.12003924,0,0,0,0,0,0,1,1,0,0,0,0
ACA10_ORYSJ,0.015710358,-0.18436705,NP,NP,0.000857207,-0.329087859,0.396597627,0.046901495,1,0,1,0,0,0,1,0,1,0,0,0
ACA3_ORYSJ,0.076055432,-0.149738851,0.099710347,-0.571104669,0.006934998,0.201099853,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
ACA9_ORYSJ,0.002974042,-0.476333561,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
ACBP6_ORYSJ,0.017280067,0.410717961,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
AGO1C_ORYSJ,0.025007272,-0.076742008,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
ALDO2_ORYSJ,0.000302699,0.601661115,0.232992444,0.174053548,0.000446326,-3.360260103,0.093250271,-0.33585202,1,1,0,0,0,0,1,0,1,0,0,0
ALDO4_ORYSJ,0.000147063,-0.461647126,0.087210349,0.131857041,NP,NP,0.392027652,0.107171128,1,0,1,0,0,0,0,0,0,0,0,0
ALFL1_ORYSJ,0.273658561,-0.018553745,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
ALFL6_ORYSJ,0.000229937,-0.367934212,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
ARFS_ORYSJ,0.219359139,-0.073412743,NP,NP,0.001247252,-0.265668365,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
ARFT_ORYSJ,0.003499194,0.18004474,0.003609132,0.636547057,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
B7ECH1_ORYSJ,0.202927025,0.240663334,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B7EW17_ORYSJ,0.242750023,0.202351658,NP,NP,0.124715813,-0.205685091,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B7F891_ORYSJ,0.246696156,-0.056317002,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B7F8F6_ORYSJ,0.365523099,-0.016987255,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B7FA89_ORYSJ,0.089602012,-0.181603677,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B9ETC4_ORYSJ,0.002103639,0.846461156,NP,NP,0.343924124,0.023901351,0.226539922,0.097319007,1,1,0,0,0,0,0,0,0,0,0,0
B9EUL8_ORYSJ,0.002533563,-0.132675838,0.107630609,-0.177235556,0.163100853,0.046351845,0.323300387,0.042211442,1,0,1,0,0,0,0,0,0,0,0,0
B9F3N3_ORYSJ,0.305711635,0.031583603,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B9FBF8_ORYSJ,0.000600158,0.574030245,NP,NP,1.85E-05,-0.992839644,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
B9FG16_ORYSJ,0.056733073,-0.054846941,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B9FM60_ORYSJ,0.00154911,0.584874546,0.075219161,0.30471693,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
B9FNL7_ORYSJ,0.000218901,-0.243962406,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
B9FP84_ORYSJ,0.002974042,-0.476333561,0.187509227,0.064959945,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
B9FZ43_ORYSJ,0.000446544,0.270377962,0.002325741,1.986092707,0.000148917,-0.454390292,0.011159322,-0.668075174,1,1,0,1,1,0,1,0,1,1,0,1
B9G3Q7_ORYSJ,0.444014253,-0.022701494,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
B9G4B3_ORYSJ,0.001054836,-0.506094627,0.001291551,1.672168049,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
B9G7D2_ORYSJ,0.021261126,0.784829605,NP,NP,0.010669721,-1.339539031,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
B9G7D8_ORYSJ,0.031522005,-0.152421322,0.19086201,-0.217708017,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
B9GEE1_ORYSJ,0.015472596,-0.180533033,0.305541675,0.055354143,0.012929337,0.045697011,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
BGA12_ORYSJ,0.000533149,-0.297136393,0.12732665,0.189671659,5.70E-05,0.491956709,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
BGL22_ORYSJ,0.004822575,0.248504852,6.01E-05,1.174472029,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
BRL3_ORYSJ,0.014985883,-0.115204964,NP,NP,0.00397484,-0.160955511,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
C3H45_ORYSJ,8.34E-05,0.948648828,0.163646812,-0.19001959,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
C3H53_ORYSJ,0.019619082,0.679212356,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
C3H57_ORYSJ,0.012400959,-0.269199155,0.019407997,0.652216648,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
C7IXA6_ORYSJ,0.018143627,0.31103406,0.026875624,0.756310336,0.055370371,-0.501325077,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
C7J2W6_ORYSJ,0.00243409,0.288059855,NP,NP,0.015843724,-0.10965744,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
C7J9W4_ORYSJ,0.001726526,-0.171792498,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
CACLC_ORYSJ,0.041802838,-0.140894307,0.014392763,0.560234034,1.41E-05,0.470847968,NP,NP,1,0,1,1,1,0,1,1,0,0,0,0
CDPKA_ORYSJ,0.003214506,0.251412865,NP,NP,0.344724495,0.034726103,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
CDPKM_ORYSJ,0.004854219,0.308593882,0.001298959,1.061668038,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
CESA1_ORYSJ,0.01345717,0.595379746,0.020519416,-2.214435988,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
CESA3_ORYSJ,0.478136646,-0.00187663,0.170449257,0.196235992,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
CESA4_ORYSJ,0.378680197,-0.034850605,0.270061746,1.730774572,0.228021407,0.115778653,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
CESA7_ORYSJ,0.371507333,-0.016522556,0.347178596,0.304391277,NP,NP,0.372835343,0.124117245,0,0,0,0,0,0,0,0,0,0,0,0
CHLH_ORYSJ,1.60E-05,1.583195292,0.263975353,-0.08592622,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
CIPKL_ORYSJ,6.61E-06,1.384981352,0.001576733,0.596103218,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
CLF_ORYSJ,0.020880829,-0.09111976,0.004238945,1.583030146,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
CLH1_ORYSJ,0.245725096,-0.022797038,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
COPG2_ORYSJ,0.483217348,-0.008561226,0.202390599,-0.083374987,NP,NP,0.042991361,-0.446947661,0,0,0,0,0,0,0,0,0,1,0,1
CSB_ORYSJ,0.023781344,0.129133948,0.099676733,0.268974453,NP,NP,0.081154988,-0.268220259,1,1,0,0,0,0,0,0,0,0,0,0
CSLC1_ORYSJ,0.002230012,-0.299887906,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
CSLC2_ORYSJ,0.184788397,-0.069802117,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
CSLCA_ORYSJ,0.000600158,0.574030245,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
CSLD2_ORYSJ,0.084055701,0.055698782,0.293371861,0.188334441,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
CSLD3_ORYSJ,0.100059804,-0.033025841,NP,NP,0.000180585,-0.199180562,0.22416979,-0.616798878,0,0,0,0,0,0,1,0,1,0,0,0
CSLF8_ORYSJ,0.320084831,-0.067185263,NP,NP,0.480408993,0.006335857,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
D53_ORYSJ,0.465546156,0.021480692,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
DCL1_ORYSJ,0.13311372,-0.125899609,0.398160291,0.039368239,0.054364106,-0.194126698,0.330348377,0.168809759,0,0,0,0,0,0,0,0,0,0,0,0
DCYD2_ORYSJ,0.008477235,0.108023449,0.016462183,0.230709745,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
DEK1_ORYSJ,0.000113315,-0.858225768,NP,NP,0.122586965,-0.10605207,0.221789186,0.11188459,1,0,1,0,0,0,0,0,0,0,0,0
DNM1A_ORYSJ,0.00754324,0.192759696,0.263060314,-0.331808996,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
DNM1B_ORYSJ,0.082055288,-0.147365127,0.003254384,2.320853156,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
DPOD1_ORYSJ,0.465373191,0.008019704,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
DUS3L_ORYSJ,0.010916846,0.123021123,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
EIN2_ORYSJ,0.046069978,0.252449696,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
ELP3_ORYSJ,0.007042838,-0.148170648,0.303319015,-0.068186447,0.12890655,0.058110255,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
ETR3_ORYSJ,0.09448917,0.054604792,NP,NP,0.040140314,-0.078224701,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
EXEC2_ORYSJ,2.25E-05,1.588343742,0.349330873,0.043983443,3.59E-06,-1.341983288,0.016279961,-0.647958558,1,1,0,0,0,0,1,0,1,1,0,1
FH10_ORYSJ,0.018484966,1.117229942,NP,NP,0.008983786,-1.32761066,0.112865045,0.38942819,1,1,0,0,0,0,1,0,1,0,0,0
FH7_ORYSJ,0.00105626,0.438791211,0.302980274,0.227694245,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
FL_ORYSJ,0.001138789,-0.384967168,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
GHD7_ORYSJ,0.024393869,-0.519625179,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
GLT1_ORYSJ,0.12515142,0.211451567,NP,NP,0.018177416,-0.188983001,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
GT43E_ORYSJ,0.025872094,0.145744515,0.00115493,1.01506357,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
HAZ1_ORYSJ,0.00351393,0.487228502,0.003025428,-0.440342467,NP,NP,0.215592088,0.167431548,1,1,0,1,0,1,0,0,0,0,0,0
HFB2A_ORYSJ,0.2436277,0.115105298,0.185946582,-0.704381405,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
HIP1_ORYSJ,0.465373191,0.008019704,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
HKT13_ORYSJ,0.036486386,-0.465295959,NP,NP,0.000535066,1.805870468,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
HMA3_ORYSJ,0.004057734,0.449738547,NP,NP,0.014156582,0.044846949,0.208631752,-0.409593056,1,1,0,0,0,0,1,1,0,0,0,0
HPT1_ORYSJ,0.077411032,0.158263473,NP,NP,0.003911721,0.106059214,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
IAA7_ORYSJ,0.403647627,0.015848859,NP,NP,0.003829657,0.261576855,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
ILV5_ORYSJ,2.47E-05,0.318833552,NP,NP,0.000422671,-0.187964204,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
JM703_ORYSJ,0.004429755,-0.180767818,NP,NP,0.019490855,0.104754374,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
JM706_ORYSJ,0.005778971,-0.265942329,NP,NP,0.344004685,-0.183351119,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
KN12C_ORYSJ,0.019987886,-0.093448548,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
KN12E_ORYSJ,0.055325281,0.15448238,NP,NP,6.62E-05,0.89698015,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
KN14G_ORYSJ,0.165138746,0.098443508,NP,NP,0.378123108,-0.025605732,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
KN14M_ORYSJ,0.015603338,-0.179863225,NP,NP,0.014049267,0.044450065,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
KN4A_ORYSJ,0.047173878,-0.099017622,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
KN4C_ORYSJ,0.003499194,0.18004474,0.003577002,0.587858226,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
KN7B_ORYSJ,0.461182949,-0.006144692,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
KN7F_ORYSJ,0.013373137,1.145685768,NP,NP,0.003759249,-1.257105147,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
KOR1_ORYSJ,0.311867114,0.022220136,NP,NP,0.142737917,-0.048137384,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
KSL10_ORYSJ,0.32175697,0.029873451,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
LG2_ORYSJ,0.009357608,-0.35364601,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
LONM_ORYSJ,0.02995048,-0.055972917,0.005825118,0.230993272,0.00130408,0.172121009,NP,NP,1,0,1,1,1,0,1,1,0,0,0,0
LOX1_ORYSJ,0.000982096,-0.414834113,NP,NP,0.116480736,-0.033627568,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
LOXC2_ORYSJ,0.000410724,0.290494728,0.007249424,0.314431634,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
LRSK7_ORYSJ,0.008931263,1.170405497,0.127825113,0.54287663,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
MCM7_ORYSJ,0.001059625,-0.197453347,0.003748282,0.402274112,NP,NP,0.170144333,0.441349059,1,0,1,1,1,0,0,0,0,0,0,0
MOR1_ORYSJ,0.006808094,-0.06756624,0.003034463,-1.912907517,0.001070646,0.244735165,0.111483893,0.123775325,1,0,1,1,0,1,1,1,0,0,0,0
NCPR3_ORYSJ,0.00154911,0.584874546,NP,NP,0.001695217,-0.378113575,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
NIP14_ORYSJ,0.016093597,0.063541731,0.123380039,0.13351568,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
NLT2B_ORYSJ,0.441052229,0.009475198,0.000943882,1.635252545,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
NOC2L_ORYSJ,0.040082316,-0.065513317,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
NPR4_ORYSJ,2.08E-05,0.867465094,NP,NP,0.28415294,0.023879909,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
NTM1_ORYSJ,0.000381261,-0.201015681,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
NUCL1_ORYSJ,0.005533659,0.495389423,0.000298833,-0.596992595,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
NUCL2_ORYSJ,0.00213823,0.164570575,0.023462514,-0.3116917,0.000463017,-0.226875503,NP,NP,1,1,0,1,0,1,1,0,1,0,0,0
ORC1_ORYSJ,0.011285219,-0.069098694,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
OSR8_ORYSJ,0.010820009,-0.37983433,NP,NP,0.000894783,0.3515777,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
PHO12_ORYSJ,0.32175697,0.029873451,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
PHOT2_ORYSJ,0.011618693,0.36094574,0.001180357,-0.364096333,NP,NP,0.00620819,0.168053363,1,1,0,1,0,1,0,0,0,1,1,0
PIK6_ORYSJ,0.004282548,-1.267077168,0.000337194,-2.247838706,0.0001579,-4.540482963,0.120129461,0.124275443,1,0,1,1,0,1,1,0,1,0,0,0
PNP1_ORYSJ,0.006852718,-0.24632334,NP,NP,0.001054832,-0.251813067,0.248075555,0.096476544,1,0,1,0,0,0,1,0,1,0,0,0
POLIB_ORYSJ,0.015377586,-0.318151399,0.001618471,1.461109924,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
